0.023	-0.006	0.003	0.003	0.003	0.032	0.003	-0.006
0.003	0.003	0.000	0.000	-0.003	0.026	0.003	0.010
-0.155	-0.003	0.000	-0.010	0.000	0.032	0.010	0.000
0.010	0.000	0.000	0.003	0.000	0.019	0.013	0.019
0.000	-0.003	0.000	-0.006	0.006	0.039	-0.013	0.026
0.010	0.000	0.000	0.006	0.000	0.006	0.019	0.003
0.000	-0.003	0.000	-0.006	0.000	0.016	0.019	-0.006
0.010	-0.006	0.006	0.003	0.000	-0.016	-0.087	0.006
0.006	0.006	-0.006	-0.003	0.000	-0.013	-0.010	0.013
0.039	-0.006	0.006	0.003	-0.003	-0.026	-0.019	-0.013
0.003	0.003	-0.006	-0.003	-0.006	-0.032	0.148	-0.006
0.029	-0.006	0.003	0.000	0.003	-0.039	-0.019	-0.023
0.006	0.003	0.000	-0.006	-0.006	-0.039	-0.026	-0.016
0.003	-0.006	0.003	0.006	0.000	-0.032	-0.006	-0.010
0.010	0.003	0.000	0.000	-0.006	-0.019	0.003	0.000
0.010	-0.003	0.000	0.000	0.003	-0.026	-0.023	-0.019
0.006	0.003	0.000	-0.003	-0.003	-0.029	0.019	-0.013
0.000	-0.003	0.000	0.000	0.003	0.000	-0.026	-0.010
0.010	0.003	0.000	0.000	-0.003	-0.019	-0.129	0.000
0.000	-0.003	-0.003	0.000	0.000	-0.003	0.003	-0.010
0.013	0.003	0.003	-0.003	0.000	-0.013	-0.016	-0.003
0.003	-0.003	-0.006	-0.010	-0.006	-0.003	0.135	-0.010
0.058	0.000	0.003	0.003	0.003	-0.010	0.000	0.000
0.000	-0.003	-0.003	-0.006	-0.006	0.003	-0.003	0.013
0.010	0.000	0.003	0.003	0.003	-0.006	-0.019	0.010
0.003	0.000	-0.003	-0.006	-0.006	0.006	-0.039	0.003
-0.145	-0.010	0.000	0.003	0.000	-0.006	-0.013	0.019
0.003	0.006	0.000	-0.006	0.000	0.006	-0.029	0.006
0.006	-0.010	0.000	0.006	0.000	-0.003	-0.055	0.013
0.013	0.003	0.000	-0.003	0.000	0.003	-0.026	0.000
0.000	-0.006	-0.016	0.003	0.000	-0.013	-0.023	-0.016
0.013	0.003	0.003	0.000	0.000	0.000	-0.013	0.019
0.000	-0.006	0.000	0.003	-0.003	0.003	0.013	-0.010
0.010	0.006	0.006	0.000	0.003	-0.016	-0.013	-0.016
0.010	0.000	0.000	-0.006	-0.003	0.003	-0.016	-0.003
0.003	-0.006	0.000	0.003	0.003	-0.003	0.003	-0.019
0.013	0.006	0.006	-0.003	0.000	0.000	-0.019	0.006
0.003	-0.003	-0.010	0.000	-0.006	0.003	-0.029	-0.013
-0.155	0.003	0.003	0.000	0.000	0.000	-0.010	0.003
0.006	0.000	0.000	-0.010	0.000	0.010	-0.016	-0.003
0.000	-0.010	-0.006	0.003	0.000	0.003	-0.006	0.003
0.006	0.006	0.000	-0.006	0.003	0.010	-0.023	0.000
0.003	-0.006	-0.003	0.003	-0.003	0.013	-0.013	-0.010
-0.187	0.003	0.003	0.000	0.000	0.000	-0.003	0.006
0.000	-0.003	0.000	-0.010	0.000	0.003	-0.097	0.000
0.003	-0.010	-0.006	0.006	0.000	-0.006	0.000	0.013
0.006	0.003	0.003	-0.006	0.000	-0.010	-0.029	-0.013
0.006	-0.003	0.000	0.003	-0.006	-0.010	-0.010	0.006
-0.026	0.003	0.000	0.000	0.000	-0.019	-0.026	-0.010
